SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,TenureMonths,MonthlyCharges,ChurnLabel
Yes,Yes,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),2510.7,26,98.1,No
Yes,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2841.55,37,76.25,Yes
No,No,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.3,1,74.3,Yes
No,No,No,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),3959.15,41,98.8,No
No,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),6004.85,58,105.05,No
Yes,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,360.1,4,84.6,Yes
No,Yes,Yes,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,1848.8,31,59.95,No
No,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,214.55,4,50.7,No
No,Yes,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,4459.15,65,69.55,No
Yes,No,No,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1443.65,18,84.95,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,197.4,9,19.6,No
No,No,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),49,1,49.0,No
No,Yes,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),5341.8,50,105.95,Yes
No,No,No,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,1008.55,10,98.55,Yes
Yes,No,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,292.8,4,78.85,Yes
Yes,Yes,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,828.2,24,34.25,No
No,No,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,2369.05,25,99.5,Yes
No,No,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,2871.5,32,91.05,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),726.1,37,19.8,No
No,Yes,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),5705.05,71,80.7,No
No,Yes,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),7470.1,72,104.8,No
No,No,No,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,53.95,1,53.95,Yes
No,No,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),7383.7,66,114.3,No
No,No,No,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,742.9,13,55.15,No
Yes,No,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),1266.1,14,90.45,Yes
No,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),4674.55,63,74.5,No
No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,523.1,12,45.05,No
No,No,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,3403.4,35,96.75,No
No,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),144.55,2,69.75,Yes
No,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),6536.5,63,104.75,No
No,No,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),789.2,31,25.0,No
No,No,No,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),5229.8,57,90.45,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1092.35,54,20.35,No
No,No,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,280.85,4,73.9,Yes
No,No,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.8,1,50.8,Yes
No,Yes,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,2937.65,36,80.4,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,45.3,2,20.35,No
No,No,No,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,262.05,3,88.35,Yes
No,Yes,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),1430.25,16,89.45,Yes
No,No,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,1119.35,23,49.45,No
No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.1,1,45.1,Yes
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),861.85,37,24.1,No
No,Yes,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,4985.9,62,81.0,No
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),1342.15,54,24.75,No
Yes,No,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,165.4,2,74.7,Yes
No,Yes,No,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),3211.2,41,78.35,No
Yes,No,No,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,233.7,3,81.35,Yes
No,No,No,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),1783.6,22,76.0,No
No,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),4859.25,66,74.25,No
No,No,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,2075.1,41,51.35,No
No,No,No,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,2282.95,32,74.75,No
No,Yes,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,877.35,13,64.75,No
No,Yes,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),3384,42,77.95,Yes
No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.6,1,45.6,Yes
No,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),6886.25,67,102.95,Yes
Yes,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,6293.45,71,89.85,No
No,Yes,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1974.8,29,70.75,Yes
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.15,1,20.15,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),198.7,10,20.0,No
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,394.85,15,25.25,No
No,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,7737.55,70,111.15,No
Yes,No,No,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,2187.55,25,89.7,Yes
No,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,6038.55,67,89.55,No
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1813.35,71,25.45,No
No,No,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,1287.85,15,84.45,No
Yes,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,344.2,7,45.75,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,670.35,33,20.1,No
No,No,No,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,367.95,4,90.65,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.5,1,19.5,No
No,No,No,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),4192.15,45,89.3,No
No,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),5969.95,60,103.75,No
Yes,Yes,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,2661.1,32,85.3,Yes
No,No,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),2618.3,62,43.7,No
Yes,Yes,No,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,1772.25,24,78.85,Yes
Yes,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),3640.45,40,94.55,Yes
No,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,459.6,26,19.2,No
No,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Mailed check,4808.7,72,68.15,No
No,No,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),1880.85,39,48.95,Yes
No,No,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,47.95,1,47.95,No
No,No,No,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,648.65,12,53.75,No
No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1124.2,61,19.75,No
No,No,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),3581.4,48,73.85,No
No,No,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),1266.35,25,54.75,No
No,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,5308.7,61,89.65,No
No,Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,1559.45,24,66.3,No
No,No,No,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,360.55,4,94.9,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1051.9,56,19.7,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,61.05,2,19.4,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),383.65,19,20.25,No
No,Yes,No,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,4234.15,63,67.25,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),908.15,46,19.2,No
No,Yes,Yes,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),552.7,16,35.5,No
No,Yes,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),2200.25,21,104.4,Yes
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,260.7,12,20.15,No
No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,369.3,8,44.45,No
No,Yes,No,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),5475.9,60,94.1,No
Yes,No,No,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,415.55,5,84.85,Yes
No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),85.5,4,20.05,No
Yes,No,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,751.65,9,80.85,Yes
No,Yes,No,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),661.25,9,79.35,Yes
No,Yes,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1107.25,15,74.9,Yes
Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,7047.5,65,107.45,No
No,No,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Mailed check,770.4,21,35.1,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.5,1,19.5,No
No,No,No,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),6172,71,86.4,No
No,Yes,Yes,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,2036.55,40,50.85,No
No,Yes,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),7365.3,71,104.15,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,1,19.55,Yes
Yes,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,560.85,8,69.7,Yes
No,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),641.15,32,19.4,No
No,No,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),1316.9,37,35.8,No
No,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),4885.85,69,73.7,No
No,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),8424.9,72,115.8,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1372.9,67,19.25,No
No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1713.1,69,23.95,No
No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.7,1,25.7,No
No,No,No,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,1248.9,16,80.55,No
Yes,Yes,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2998,28,105.8,No
No,No,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Mailed check,2894.55,41,70.2,No
No,Yes,No,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),6921.7,72,94.45,No
No,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),2603.1,33,82.1,No
No,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),5234.95,66,79.85,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,279.2,19,18.8,No
No,No,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,3887.25,38,104.85,No
No,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),8058.55,72,114.3,No
No,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),870.25,9,93.0,No
No,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),7869.05,70,113.05,No
No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,767.9,9,90.35,No
No,No,No,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,554.45,8,65.45,No
No,No,No,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,1410.25,17,86.75,No
No,Yes,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),2745.7,33,86.15,Yes
No,Yes,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),1636.95,29,55.35,No
Yes,No,No,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,1055.9,20,54.0,No
No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,1334,56,24.9,Yes
Yes,Yes,No,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),6127.6,68,89.6,Yes
No,Yes,Yes,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),2021.35,50,39.45,No
No,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.6,1,94.6,Yes
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,1007.8,51,19.1,No
No,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),495.15,25,20.95,No
Yes,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,2291.2,25,88.95,Yes
No,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),754.65,9,85.35,Yes
No,No,No,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,617.85,11,54.6,No
No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),6225.4,58,105.2,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,320.45,15,19.9,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,620.75,36,19.55,No
Yes,Yes,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),181.65,2,95.5,No
No,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1629.2,68,25.05,No
No,Yes,Yes,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),4113.15,70,58.4,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),849.9,42,19.8,No
No,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1874.3,72,24.8,No
No,No,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,6860.6,66,104.25,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),902,46,20.05,No
No,No,No,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,167.3,2,85.85,Yes
No,No,No,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,3357.9,53,61.1,No
No,No,No,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),939.7,15,58.6,Yes
No,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,338.1,4,75.35,Yes
Yes,Yes,No,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,2283.3,40,55.8,No
No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,58.9,3,25.25,Yes
No,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),6145.2,61,98.45,No
No,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),6689,67,100.25,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,525.55,26,19.4,No
Yes,No,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.65,2,30.4,Yes
No,No,No,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),3260.1,67,50.55,No
No,No,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,493.4,6,80.25,No
No,Yes,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,149.05,7,24.7,No
No,No,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),1790.6,39,45.05,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,275.7,16,20.0,No
No,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),1327.4,67,20.85,No
No,Yes,No,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,587.1,7,86.25,Yes
No,No,No,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,60.1,1,60.1,Yes
No,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.7,1,70.7,No
No,No,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,1782.4,50,35.0,No
No,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),350.3,5,67.95,Yes
No,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1235.55,14,86.1,Yes
No,No,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),8164.1,72,113.4,No
No,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,1,81.05,No
No,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,3066.45,31,103.45,Yes
No,No,No,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),2656.3,38,68.15,No
No,No,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,226.45,8,30.45,Yes
No,Yes,No,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),4688.65,64,73.05,No
No,Yes,No,No,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,1274.45,20,64.15,No
No,Yes,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),580.1,7,81.25,No
Yes,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.65,1,73.65,Yes
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,306.05,12,21.15,No
No,Yes,No,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,5270.6,56,98.0,No
No,Yes,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,3527.3,34,100.85,No
No,Yes,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,3361.05,33,103.75,Yes
Yes,No,No,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),908.55,8,100.15,No
No,No,No,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1970.5,29,68.85,Yes
Yes,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1531.4,14,104.85,Yes
Yes,Yes,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),6786.4,65,105.25,Yes
No,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,3906.7,49,84.5,No
Yes,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,1031.1,54,18.95,No
No,Yes,No,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),3958.2,59,66.4,No
No,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1253.9,12,106.7,Yes
No,Yes,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),2264.5,45,51.0,No
No,Yes,No,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),6330.4,63,99.7,No
No,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1415,15,100.15,No
No,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),5727.45,72,80.85,No
No,Yes,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,446.8,8,55.75,No
No,Yes,No,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,5898.6,66,89.0,No
No,Yes,No,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,959.9,12,84.6,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),890.35,46,20.25,No
No,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,811.8,10,74.15,Yes
No,No,No,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,1144.6,19,59.55,No
Yes,No,No,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,2862.75,29,98.65,Yes
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),138.85,6,19.85,No
No,No,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),7795.95,70,111.95,No
No,No,No,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),3233.6,38,83.9,Yes
No,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),6631.85,65,105.1,No
No,Yes,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,1441.95,30,49.9,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,358.5,18,20.05,No
No,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,631.4,15,48.85,No
